"Cell_Line","Lineage","X1","X2","X3","X4","X5","X6","X7","X8"
"293T","Non-hematopoietic",-0.387471559560014,-0.622696966941744,0.383071262556381,0.0774644000174404,-0.0207206380912737,0.132748955925042,-0.0520804813077587,-5.63210953785821e-09
"A549","Non-hematopoietic",0.350705411051857,-0.590928771476343,0.233239495468834,0.338686204983499,-0.177320232273166,0.00472504461073109,0.0472025747297794,-5.63210953785826e-09
"AML2","Hematopoietic",-0.0800432417276614,0.565586838604723,0.238312355367671,-0.545865028077709,-0.0678006668568032,0.0419399326574285,0.0415533495296712,-5.63210953785825e-09
"AML3","Hematopoietic",-0.288583445341474,0.881410287490417,0.183705540961429,0.362293082677426,0.0254226006569825,0.0444085096999446,0.0244841056644716,-5.63210953785827e-09
"DiFi","Non-hematopoietic",-0.554724075417037,0.279351173899314,-0.534974904151208,-0.0142790060963048,0.353512374415216,0.00800680419507485,0.00318666463995555,-5.63210953785815e-09
"HeLa","Non-hematopoietic",0.207649551022187,-0.857754050859182,-0.258837393915425,-0.362523310568007,0.0301626477670572,-0.0617132854833004,-0.011514253978746,-5.6321095378581e-09
"Huh7","Non-hematopoietic",0.527530823817759,0.0296315359287643,-0.500719994020645,0.295830740703155,0.0188068524372351,0.0314999605917311,-0.154170715944694,-5.6321095378581e-09
"Jeko1","Hematopoietic",-0.878899360511231,-0.089634847658994,0.168218243956624,-0.185974213099379,0.123011334753958,-0.0119920188152127,-0.0913946503785324,-5.63210953785825e-09
"Jurkat","Hematopoietic",-0.88095524155302,0.0114505576396816,-0.389567238218644,-0.000296056987138813,-0.370886655395842,0.0250221408421244,0.00556865704294559,-5.63210953785817e-09
"LN308","Non-hematopoietic",0.750632827458399,0.164925983344791,-0.273054998066314,-0.000686888383415326,-0.0530268251839176,-0.169244824892595,0.0722446612974925,-5.63210953785821e-09
"LPS853","Non-hematopoietic",0.787754328016516,0.0513304777767365,-0.193363896745099,-0.100578175848222,-0.0558492747840672,0.19516439802781,0.120042089521703,-5.63210953785836e-09
"Molm13","Hematopoietic",0.397773285658026,0.437124072373039,0.340202651613274,-0.079700215347777,-0.269864215373124,-0.111601311873538,-0.113129595625067,-5.63210953785787e-09
"Nalm6","Hematopoietic",-0.750202590904982,-0.247747839557751,0.190984295210414,0.220216531843072,0.104962530422536,-0.128342249632754,0.133210381573969,-5.6321095378581e-09
"U937","Hematopoietic",0.798833287990673,-0.012048450563453,0.412784579982707,-0.00458806581664041,0.359590167505198,-0.000622055852501484,-0.0252027867651994,-5.63210953785821e-09
